"Отметка времени","Укажите, пожалуйста, Ваш пол:","Сколько вам полных лет?","Укажите, пожалуйста, уровень Вашего образования","В каком районе вы живете?","В данный момент:","Катаетесь ли вы на велосипеде в Москве?","Давно ли вы умеете кататься на велосипеде? ","Пользуетесь ли вы услугами московского велопроката  (https://velobike.ru)","Пользуетесь ли вы услугами других велопрокатов Москвы?","С какой целью вы катаетесь на велосипеде?","Совмещаете ли вы велосипед с другими видами транспорта при планировании своей поездки?","Имеете ли вы личный велосипед? ","Есть ли рядом с вашим домом станция московского велопроката (в окрестности 500 метров) ","Есть ли у вас в распоряжении личный автомобиль?","На сколько далеко от вас расположено ваше место работы (учебы)","Как вы считаете, насколько опасна поездка на велосипеде по городу?","Инфраструктура вдоль моей дороги на работу/учебу удобна для передвижения на велосипеде","Я мог бы безопасно припарковать свой велосипед у места работы/учебы","Я мог бы безопасно припарковать свой велосипед у дома","На сколько для вас важен велосипед в городе?","Насколько положительно вы воспринимаете велосипедистов","Что для вас велосипед?"
"2019/05/27 11:04:20 AM GMT+3","Мужской","19","Неоконченное высшее","Гагаринский","Я учусь","Да","от 5 до 10 лет","Да, пользуюсь","Нет, не пользуюсь","Способ проведения досуга;Поездка на работу (и с работы)","Да","Нет","Да, есть","Нет","От 5 до 10 километров","8","3","6","8","8","8",""
"2019/05/27 11:05:01 AM GMT+3","Мужской","19","Неоконченное высшее","Ломоносовский","Я учусь","Да","Более 10 лет","Нет, не пользуюсь","Нет, не пользуюсь","Способ проведения досуга;Поручения и личные встречи","Да","Да","Нет","Да, есть","От 5 до 10 километров","2","4","6","3","4","10",""
"2019/05/27 3:25:20 PM GMT+3","Мужской","19","Неоконченное высшее","19","Я учусь","Да","Более 10 лет","Да, пользуюсь","Нет, не пользуюсь","Способ проведения досуга","Да","Нет","Нет","Нет","От 5 до 10 километров","7","2","3","2","5","8",""
"2019/05/27 3:26:31 PM GMT+3","Мужской","19","Неоконченное высшее","нагатино","Я учусь","Нет","","","","","","Нет","Нет","Нет","Более 10 километров","6","6","5","3","4","5",""
"2019/05/27 5:40:35 PM GMT+3","Мужской","19","Неоконченное высшее","Коньково","Я учусь","Да","до 1  года","Нет, не пользуюсь","Нет, не пользуюсь","Способ проведения досуга","Нет","Нет","Да, есть","Нет","Более 10 километров","5","2","10","10","7","7","Это для меня всё"
"2019/05/27 5:42:52 PM GMT+3","Женский","19","Высшее","Хамовники","Я учусь","Да","Более 10 лет","Да, пользуюсь","Нет, не пользуюсь","Способ проведения досуга","Нет","Нет","Да, есть","Да, есть","От 2 до 5 километров","5","7","8","8","5","5","Спорт "
"2019/05/27 5:44:08 PM GMT+3","Мужской","19","Среднее общее","Тропарево-Никулино","Я учусь","Нет","","","","","","Нет","Нет","Нет","От 5 до 10 километров","2","5","6","1","1","4","Экономия на бензине"
"2019/05/27 5:44:52 PM GMT+3","Мужской","45","Высшее","гагаринский","Я работаю","Да","Более 10 лет","Нет, не пользуюсь","Нет, не пользуюсь","Способ проведения досуга;Поездка на работу (и с работы)","Да","Да","Да, есть","Да, есть","Более 10 километров","6","1","5","5","8","10","отдых"
"2019/05/27 5:45:12 PM GMT+3","Мужской","20","Среднее общее","Академический","Я учусь","Да","Более 10 лет","Нет, не пользуюсь","Нет, не пользуюсь","Способ проведения досуга;Шоппинг","Да","Да","Нет","Да, есть","Более 10 километров","2","3","8","8","6","10","Спорт"
"2019/05/27 5:45:22 PM GMT+3","Мужской","49","Высшее","Коньково","Я работаю","Да","Более 10 лет","Нет, не пользуюсь","Нет, не пользуюсь","Способ проведения досуга","Нет","Да","Да, есть","Да, есть","Более 10 километров","10","1","10","1","1","2","Покатушки"
